Group,est.RotavirusYes,se,odds,odds_lci,odds_hci,OR,Rota,N,PrRota,Mshc,r_alpha,r_beta,time_yrs,Npop,AF,AI,mean,lower,upper
0-11 months,2.833213344,0.727606875,17,8.212081872,35.1920505,"17.00 (8.21, 35.19)",35,236,"0.15 (0.11, 0.20)",471,53,380,1,6155.5,"0.14 (0.09, 0.18)","8.71 (5.47, 12.83)",8.71,5.47,12.83
12-23 months,2.484906646,0.735980071,11.99999996,5.748428856,25.05032289,"12.00 (5.75, 25.05)",26,226,"0.12 (0.08, 0.16)",361,23,266,1,6773.5,"0.10 (0.06, 0.15)","7.15 (3.72, 12.07)",7.15,3.72,12.07
24-59 months,0.182321557,0.605530071,1.2,0.654942054,2.198667791,"1.20 (0.65, 2.20)",6,230,"0.03 (<0.01, 0.05)",312,7,144,1,18648,"<0.01 (<0.01, 0.02)","<0.01 (<0.01, 1.19)",0.01,0.01,1.19
2011-11,1.704748092,0.768706115,5.5,2.54986898,11.86335464,"5.50 (2.55, 11.86)",17,43,"0.40 (0.26, 0.54)",84,47,612,0.083333333,31768,"0.30 (0.07, 0.47)","13.57 (2.85, 23.08)",13.57,2.85,23.08
2011-12,1.252762968,0.56694671,3.5,1.985391768,6.170066884,"3.50 (1.99, 6.17)",20,53,"0.38 (0.25, 0.51)",146,47,612,0.083333333,31768,"0.25 (0.05, 0.40)","19.77 (3.65, 34.57)",19.77,3.65,34.57
2012-01,1.945910149,1.069044968,7,2.403353807,20.38817583,"7.00 (2.40, 20.39)",7,66,"0.11 (0.04, 0.19)",90,47,612,0.083333333,31768,"0.08 (<0.01, 0.16)","3.85 (<0.01, 8.43)",3.85,0.01,8.43
2012-02,1.520198589,1.601535551,4.573133279,0.921882999,22.68568571,"4.57 (0.92, 22.69)†",3,53,"0.06 (0.01, 0.13)",76,47,612,0.083333333,31768,"0.01 (<0.01, 0.11)","0.44 (<0.01, 4.56)",0.44,0.01,4.56
2012-03,0.531061969,1.807901928,1.70073748,0.278917299,10.3704861,"1.70 (0.28, 10.37)†",1,55,"0.02 (<0.01, 0.07)",81,47,612,0.083333333,31768,"<0.01 (<0.01, 0.04)","<0.01 (<0.01, 1.92)",0.01,0.01,1.92
2012-04,0.138690362,2.233530987,1.148768343,0.12308986,10.72118134,"1.15 (0.12, 10.72)†",0,59,"<0.01 (<0.01, <0.01)",83,47,612,0.083333333,31768,"<0.01 (<0.01, <0.01)","<0.01 (<0.01, <0.01)",0.01,0.01,0.01
2012-05,-0.147817959,2.234046044,0.862588127,0.092378224,8.054476998,"0.86 (0.09, 8.05)†",0,64,"<0.01 (<0.01, <0.01)",83,47,612,0.083333333,31768,"<0.01 (<0.01, <0.01)","<0.01 (<0.01, <0.01)",0.01,0.01,0.01
2012-06,0.703630535,1.805070877,2.021076994,0.33239198,12.28896139,"2.02 (0.33, 12.29)†",1,63,"0.02 (<0.01, 0.06)",125,47,612,0.083333333,31768,"<0.01 (<0.01, 0.04)","<0.01 (<0.01, 2.71)",0.01,0.01,2.71
2012-07,0.09456405,2.233696157,1.099179564,0.117756999,10.26007559,"1.10 (0.12, 10.26)†",0,59,"<0.01 (<0.01, <0.01)",111,47,612,0.083333333,31768,"<0.01 (<0.01, <0.01)","<0.01 (<0.01, <0.01)",0.01,0.01,0.01
2012-08,1.466719882,1.601669877,4.334992507,0.873759602,21.50724293,"4.33 (0.87, 21.51)†",3,54,"0.06 (0.01, 0.13)",81,47,612,0.083333333,31768,"<0.01 (<0.01, 0.11)","0.46 (<0.01, 4.76)",0.46,0.01,4.76
2012-09,2.306820793,1.484872717,10.04244683,2.274927255,44.3314124,"10.04 (2.27, 44.33)†",9,56,"0.16 (0.08, 0.27)",83,47,612,0.083333333,31768,"0.11 (<0.01, 0.24)","5.04 (<0.01, 11.40)",5.04,0.01,11.4
2012-10,1.766794804,1.560075364,5.85206625,1.229637536,27.85103608,"5.85 (1.23, 27.85)†",4,57,"0.07 (0.02, 0.15)",83,47,612,0.083333333,31768,"0.03 (<0.01, 0.12)","1.32 (<0.01, 5.85)",1.32,0.01,5.85
2012-11,1.16491419,1.267915887,3.205647795,0.902125443,11.39107412,"3.21 (0.90, 11.39)†",2,10,"0.20 (0.03, 0.48)",18,47,612,0.083333333,31768,"0.06 (<0.01, 0.37)","0.58 (<0.01, 3.71)",0.58,0.01,3.71
All,1.961658506,0.356000156,7.111111111,4.981137855,10.15187748,"7.11 (4.98, 10.15)",67,692,"0.10 (0.08, 0.12)",1144,47,612,1,31768,"0.08 (0.06, 0.10)","4.24 (2.83, 6.08)",4.24,2.83,6.08
